State,year,Poverty Variable,Labor Variable
Hawaii,2018,137516,1422029
Illinois,2018,1635603,12821497
Indiana,2018,908359,6637426
Iowa,2018,353634,3132499
Kansas,2018,350280,2908776
Kentucky,2018,772080,4440204
Louisiana,2018,878394,4663616
Maine,2018,161743,1332813
Maryland,2018,553496,6003435
Massachusetts,2018,710305,6830193
Michigan,2018,1457008,9957488
